factor,reason
state__raw__30m__zdy_zs_space_V230421__di_1__joint::下跌|9笔|任意,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__v1::nan,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__v1::看多,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__v1::看空,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__v2::弱,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__v2::强,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__joint::看多|弱|任意,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__joint::看多|强|任意,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__joint::看空|弱|任意,state_active_support
state__raw__daily__byi_bi_end_V230106__di_1__joint::看空|强|任意,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__v1::看多,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__v1::看空,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__v2::弱,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__v2::强,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__joint::看多|弱|任意,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__joint::看多|强|任意,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__joint::看空|弱|任意,state_active_support
state__raw__daily__byi_bi_end_V230107__di_1__joint::看空|强|任意,state_active_support
state__raw__daily__byi_fx_num_V230628__di_1__v1::向下,minimum_absolute_effect
state__raw__daily__byi_fx_num_V230628__di_1__v2::满足,minimum_absolute_effect
state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|满足|任意,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__v1::否,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__v1::是,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__v3::3笔,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__v3::5笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__v3::7笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔,cross_year_direction
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向上|5笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔,state_active_support
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔,state_active_support
state__raw__daily__cxt_bi_base_V230228__di_1__v2::中继,cross_year_direction
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向上|转折|任意,minimum_absolute_effect
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向下|中继|任意,cross_year_direction
