kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-tas_kdj_evc_V230401,tas_kdj_evc_V230401,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_low_trend_V230627,tas_low_trend_V230627,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_ma_base_V221101,tas_ma_base_V221101,TREND_MOMENTUM,READY,czsc,1
signal,SIG-CZSC-tas_ma_base_V221203,tas_ma_base_V221203,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_ma_base_V230313,tas_ma_base_V230313,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_ma_cohere_V230512,tas_ma_cohere_V230512,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_ma_round_V221206,tas_ma_round_V221206,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_ma_system_V230513,tas_ma_system_V230513,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_base_V221028,tas_macd_base_V221028,TREND_MOMENTUM,READY,czsc,1
signal,SIG-CZSC-tas_macd_base_V230320,tas_macd_base_V230320,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bc_V221201,tas_macd_bc_V221201,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bc_V230803,tas_macd_bc_V230803,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bc_V230804,tas_macd_bc_V230804,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bc_V240307,tas_macd_bc_V240307,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bc_ubi_V230804,tas_macd_bc_ubi_V230804,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bs1_V230312,tas_macd_bs1_V230312,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bs1_V230313,tas_macd_bs1_V230313,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bs1_V230411,tas_macd_bs1_V230411,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_bs1_V230412,tas_macd_bs1_V230412,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_change_V221105,tas_macd_change_V221105,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_direct_V221106,tas_macd_direct_V221106,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_dist_V230408,tas_macd_dist_V230408,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_dist_V230409,tas_macd_dist_V230409,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_dist_V230410,tas_macd_dist_V230410,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_first_bs_V221201,tas_macd_first_bs_V221201,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_macd_first_bs_V221216,tas_macd_first_bs_V221216,TREND_MOMENTUM,DISCOVERED,czsc,1
