date,R1102,S001-v1,R0539,R1319
2024-05-08,-0.011421083012271516,-0.01142049304391013,-0.011420752375069343,-0.01142111175595506
2024-05-09,0.021822392153265868,0.021821251871482206,0.021821753102594377,0.021822447708650605
2024-05-10,-0.01381881186175038,-0.013818105209732146,-0.013818415831372777,-0.013818846290327036
2024-05-13,-0.00509543535774426,-0.00509517114170932,-0.00509528728258668,-0.005095448230542643
2024-05-14,0.0007797532153202003,-0.005121264862646635,0.0007797304393655224,0.0007797551953305781
2024-05-15,0.0,-0.014155974868971022,0.0,0.0
2024-05-16,0.0,0.002109503477140784,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0
2024-05-30,0.0,0.0,0.0,0.0
2024-05-31,0.0,0.0,0.0,0.0
2024-06-03,0.00869371305557265,0.008693636825213513,0.008693684994512063,0.0
2024-06-04,0.003906088294645338,0.0039060543395119662,0.0039060757954649805,0.004712504573473497
2024-06-05,-0.0025939267561575496,-0.00259390429521289,-0.0025939184880883204,-0.0025938896928712207
2024-06-06,-0.009102354487400266,-0.009102275464668796,-0.009102325398444688,-0.009102224090299482
2024-06-07,-0.006561406020246463,-0.006561348533679623,-0.006561384858939534,-0.006561311160436567
2024-06-11,0.025098021184231323,0.02509779984016225,-0.0018202611007496206,0.025097655939676722
2024-06-12,-0.0025772139953106343,-0.002577191822865532,-0.003075781134335487,-0.0025771774080823873
2024-06-13,0.006459682973641412,0.006459627255706035,0.006459947135486477,0.006459591032279777
2024-06-14,-0.007701867943152085,-0.007701801937135877,-0.007702180881262732,-0.00770175902520398
2024-06-17,0.0025872157081083813,0.0025871933632353183,0.002587321646406071,0.002587178836353843
2024-06-18,0.0,0.0,0.0,0.0
2024-06-19,-0.006451348240763766,-0.006451292666517339,-0.0064516117213547775,-0.0064512565365058006
2024-06-20,0.0064932383827813744,0.006493182084481353,0.006493505296236712,0.006493145483750462
2024-06-21,0.0012902696481527087,0.0012902585333034455,0.0012903223442710665,0.0012902513073012045
2024-06-24,-0.02448353295545047,-0.02448332231722239,-0.024484531602931736,-0.024483185376782957
2024-06-25,-0.029060866634373017,-0.029060610341240634,-0.0031406863330377677,-0.029060443719625684
2024-06-26,-0.0018597834969551474,-0.001859766604270452,0.0,-0.0018597556219815958
2024-06-27,0.0,0.0,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0
2024-07-02,0.0,0.0,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0
